Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/15/2025,01/16/2025,Whole Foods Market,Groceries,Sale,-87.43,
01/17/2025,01/18/2025,DIRECT DEPOSIT PAYROLL,Paycheck,Payment,4200.00,
01/19/2025,01/20/2025,Netflix.com,Entertainment,Sale,-15.49,
01/21/2025,01/22/2025,Shell Oil,Gas,Sale,-58.00,
01/23/2025,01/23/2025,Uber,Travel,Sale,-12.75,
01/25/2025,01/26/2025,Starbucks,Food & Drink,Sale,-6.45,
01/27/2025,01/28/2025,Amazon.com,Shopping,Sale,-134.99,
01/28/2025,01/29/2025,Planet Fitness,Health & Wellness,Sale,-24.99,
02/01/2025,02/02/2025,Rent Payment,Home,Payment,-1800.00,
02/03/2025,02/04/2025,Trader Joe's,Groceries,Sale,-62.10,
02/05/2025,02/05/2025,Venmo transfer,Transfer,Payment,200.00,
02/07/2025,02/08/2025,CVS Pharmacy,Health & Wellness,Sale,-18.30,
